industry_code,industry_name,sa2_code,sa2_name,0_to_50k_businesses,50k_to_200k_businesses,200k_to_2m_businesses,2m_to_5m_businesses,5m_to_10m_businesses,10m_or_more_businesses,total_businesses
industry_code,"Agriculture, Forestry and Fishing",119011354,Bass Hill - Georges Hall,4,0,3,0,0,0,6
industry_code,"Agriculture, Forestry and Fishing",119011355,Chullora,0,0,0,0,0,0,3
industry_code,"Agriculture, Forestry and Fishing",119011356,Condell Park,3,3,3,0,0,0,11
industry_code,"Agriculture, Forestry and Fishing",119011358,Padstow,3,3,3,0,0,0,6
industry_code,"Agriculture, Forestry and Fishing",119011360,Revesby,0,3,0,0,0,0,0
industry_code,"Agriculture, Forestry and Fishing",119011361,Yagoona - Birrong,3,3,3,0,0,0,3
industry_code,"Agriculture, Forestry and Fishing",119011571,Bankstown - North,3,0,0,3,0,0,4
industry_code,"Agriculture, Forestry and Fishing",119011572,Bankstown - South,3,0,3,0,0,0,4
industry_code,"Agriculture, Forestry and Fishing",119011655,Greenacre - North,0,3,0,0,0,0,4
industry_code,"Agriculture, Forestry and Fishing",119011656,Greenacre - South,0,3,0,0,0,0,4
industry_code,"Agriculture, Forestry and Fishing",119011657,Panania (North) - Milperra,0,3,0,0,0,0,3
industry_code,"Agriculture, Forestry and Fishing",119011658,Panania (South) - Picnic Point,0,3,0,0,0,0,0
industry_code,"Agriculture, Forestry and Fishing",119021362,Belmore - Belfield,0,0,3,0,0,0,3
industry_code,"Agriculture, Forestry and Fishing",119021366,Punchbowl,3,3,3,0,0,0,7
industry_code,"Agriculture, Forestry and Fishing",119021367,Roselands,3,0,0,0,0,0,5
industry_code,"Agriculture, Forestry and Fishing",119021573,Lakemba,3,3,3,0,0,0,6
industry_code,"Agriculture, Forestry and Fishing",119021574,Wiley Park,0,3,3,0,0,0,3
industry_code,"Agriculture, Forestry and Fishing",119021659,Campsie - North,0,0,0,0,0,0,0
industry_code,"Agriculture, Forestry and Fishing",119021660,Campsie - South,0,0,0,0,0,0,0
industry_code,"Agriculture, Forestry and Fishing",119021661,Canterbury - South,0,3,0,0,0,0,3
industry_code,"Agriculture, Forestry and Fishing",119021662,Earlwood,0,0,0,0,0,0,3
industry_code,"Agriculture, Forestry and Fishing",119021663,Kingsgrove - North,3,0,0,0,0,0,3
industry_code,"Agriculture, Forestry and Fishing",119031370,Narwee - Beverly Hills,3,0,0,0,0,0,4
industry_code,"Agriculture, Forestry and Fishing",119031371,Oatley - Hurstville Grove,0,0,3,0,3,0,7
industry_code,"Agriculture, Forestry and Fishing",119031372,Peakhurst - Lugarno,3,3,3,0,0,0,9
industry_code,"Agriculture, Forestry and Fishing",119031373,Riverwood,0,0,0,0,0,0,3
industry_code,"Agriculture, Forestry and Fishing",119031374,South Hurstville - Blakehurst,3,3,0,0,0,0,8
industry_code,"Agriculture, Forestry and Fishing",119031664,Hurstville - Central,0,0,3,0,0,0,3
industry_code,"Agriculture, Forestry and Fishing",119031665,Hurstville - North,0,0,3,0,0,0,3
industry_code,"Agriculture, Forestry and Fishing",119031666,Mortdale - Oatley,0,3,0,0,0,0,4
industry_code,"Agriculture, Forestry and Fishing",119031667,Penshurst,0,0,3,0,0,0,3
industry_code,"Agriculture, Forestry and Fishing",119041377,Kingsgrove (South) - Bardwell Park,7,0,3,0,0,0,11
industry_code,"Agriculture, Forestry and Fishing",119041378,Kogarah,0,3,4,0,0,0,6
industry_code,"Agriculture, Forestry and Fishing",119041379,Kogarah Bay - Carlton - Allawah,0,0,0,0,0,0,3
industry_code,"Agriculture, Forestry and Fishing",119041380,Monterey - Brighton-le-Sands - Kyeemagh,3,3,0,0,0,0,4
industry_code,"Agriculture, Forestry and Fishing",119041381,Rockdale - Banksia,0,4,0,0,0,0,4
industry_code,"Agriculture, Forestry and Fishing",119041382,Sans Souci - Ramsgate,3,0,0,0,0,0,4
industry_code,"Agriculture, Forestry and Fishing",119041668,Arncliffe - Bardwell Valley,0,0,0,0,0,0,0
industry_code,"Agriculture, Forestry and Fishing",119041669,Bexley - North,0,0,0,0,0,0,3
industry_code,"Agriculture, Forestry and Fishing",119041670,Bexley - South,3,0,0,0,0,0,5
industry_code,"Agriculture, Forestry and Fishing",119041671,Wolli Creek,0,0,0,0,0,0,0
industry_code,Mining,119011354,Bass Hill - Georges Hall,0,0,0,0,0,0,3
industry_code,Mining,119011355,Chullora,0,0,0,0,0,0,0
industry_code,Mining,119011356,Condell Park,0,0,0,0,0,0,0
industry_code,Mining,119011358,Padstow,3,0,0,0,0,0,3
industry_code,Mining,119011360,Revesby,0,0,0,0,0,0,0
industry_code,Mining,119011361,Yagoona - Birrong,0,0,0,0,0,0,0
industry_code,Mining,119011571,Bankstown - North,3,3,0,0,0,0,3
industry_code,Mining,119011572,Bankstown - South,0,0,0,0,3,0,0
industry_code,Mining,119011655,Greenacre - North,0,0,0,0,0,3,0
industry_code,Mining,119011656,Greenacre - South,3,0,0,0,0,0,3
industry_code,Mining,119011657,Panania (North) - Milperra,0,0,0,0,0,0,0
industry_code,Mining,119011658,Panania (South) - Picnic Point,0,0,0,0,0,0,3
industry_code,Mining,119021362,Belmore - Belfield,0,0,0,0,0,0,0
industry_code,Mining,119021366,Punchbowl,0,0,0,0,0,0,0
industry_code,Mining,119021367,Roselands,0,0,0,0,0,0,0
industry_code,Mining,119021573,Lakemba,0,0,3,0,0,0,0
industry_code,Mining,119021574,Wiley Park,0,0,0,0,0,0,0
industry_code,Mining,119021659,Campsie - North,0,0,0,0,0,0,0
industry_code,Mining,119021660,Campsie - South,0,0,0,0,0,0,0
industry_code,Mining,119021661,Canterbury - South,0,0,0,0,0,0,0
industry_code,Mining,119021662,Earlwood,0,0,0,0,0,0,0
industry_code,Mining,119021663,Kingsgrove - North,0,0,0,3,0,0,0
industry_code,Mining,119031370,Narwee - Beverly Hills,0,0,0,0,0,0,0
industry_code,Mining,119031371,Oatley - Hurstville Grove,0,0,0,0,0,0,3
industry_code,Mining,119031372,Peakhurst - Lugarno,0,0,0,0,0,0,0
industry_code,Mining,119031373,Riverwood,3,0,0,0,0,0,3
industry_code,Mining,119031374,South Hurstville - Blakehurst,0,0,3,0,0,0,0
industry_code,Mining,119031664,Hurstville - Central,0,0,0,0,0,0,0
industry_code,Mining,119031665,Hurstville - North,0,0,0,0,0,0,0
industry_code,Mining,119031666,Mortdale - Oatley,0,0,0,0,0,0,0
industry_code,Mining,119031667,Penshurst,0,0,0,0,0,0,0
industry_code,Mining,119041377,Kingsgrove (South) - Bardwell Park,0,0,0,0,0,0,0
industry_code,Mining,119041378,Kogarah,0,0,0,0,0,0,0
industry_code,Mining,119041379,Kogarah Bay - Carlton - Allawah,0,0,0,0,0,0,0
industry_code,Mining,119041380,Monterey - Brighton-le-Sands - Kyeemagh,3,0,0,0,0,0,3
industry_code,Mining,119041381,Rockdale - Banksia,3,0,0,0,0,0,3
industry_code,Mining,119041382,Sans Souci - Ramsgate,3,0,0,0,0,0,0
industry_code,Mining,119041668,Arncliffe - Bardwell Valley,0,0,0,0,0,0,0
industry_code,Mining,119041669,Bexley - North,0,0,3,0,0,0,0
industry_code,Mining,119041670,Bexley - South,0,0,0,0,0,0,0
industry_code,Mining,119041671,Wolli Creek,0,0,0,0,0,0,0
industry_code,Manufacturing,119011354,Bass Hill - Georges Hall,25,35,12,3,0,0,74
industry_code,Manufacturing,119011355,Chullora,5,13,22,5,3,3,51
industry_code,Manufacturing,119011356,Condell Park,40,50,129,48,20,41,328
industry_code,Manufacturing,119011358,Padstow,11,31,30,11,3,5,91
industry_code,Manufacturing,119011360,Revesby,12,14,12,3,3,0,41
industry_code,Manufacturing,119011361,Yagoona - Birrong,13,27,19,0,0,0,60
industry_code,Manufacturing,119011571,Bankstown - North,13,20,18,3,0,0,53
industry_code,Manufacturing,119011572,Bankstown - South,37,35,69,16,7,10,174
industry_code,Manufacturing,119011655,Greenacre - North,15,24,31,6,3,3,80
industry_code,Manufacturing,119011656,Greenacre - South,15,11,11,0,0,0,38
industry_code,Manufacturing,119011657,Panania (North) - Milperra,3,10,7,0,0,0,22
industry_code,Manufacturing,119011658,Panania (South) - Picnic Point,10,11,10,0,0,0,31
industry_code,Manufacturing,119021362,Belmore - Belfield,16,28,26,0,0,0,72
industry_code,Manufacturing,119021366,Punchbowl,28,33,50,11,5,5,132
industry_code,Manufacturing,119021367,Roselands,6,11,10,0,3,0,28
industry_code,Manufacturing,119021573,Lakemba,13,14,13,3,0,0,42
industry_code,Manufacturing,119021574,Wiley Park,5,4,4,0,0,0,14
industry_code,Manufacturing,119021659,Campsie - North,9,12,7,3,0,0,29
industry_code,Manufacturing,119021660,Campsie - South,5,4,6,0,0,0,15
industry_code,Manufacturing,119021661,Canterbury - South,12,13,17,4,0,0,46
industry_code,Manufacturing,119021662,Earlwood,13,22,21,0,0,0,57
industry_code,Manufacturing,119021663,Kingsgrove - North,9,10,26,6,5,4,60
industry_code,Manufacturing,119031370,Narwee - Beverly Hills,10,11,12,3,0,0,35
industry_code,Manufacturing,119031371,Oatley - Hurstville Grove,7,8,8,0,0,0,25
industry_code,Manufacturing,119031372,Peakhurst - Lugarno,19,41,77,23,7,5,172
industry_code,Manufacturing,119031373,Riverwood,11,12,3,0,0,0,26
industry_code,Manufacturing,119031374,South Hurstville - Blakehurst,11,15,14,0,0,3,41
industry_code,Manufacturing,119031664,Hurstville - Central,12,6,19,3,0,0,38
industry_code,Manufacturing,119031665,Hurstville - North,7,4,4,0,0,0,16
industry_code,Manufacturing,119031666,Mortdale - Oatley,11,11,8,0,0,0,30
industry_code,Manufacturing,119031667,Penshurst,3,6,6,0,0,0,14
industry_code,Manufacturing,119041377,Kingsgrove (South) - Bardwell Park,9,21,9,0,0,0,39
industry_code,Manufacturing,119041378,Kogarah,8,8,16,4,3,0,37
industry_code,Manufacturing,119041379,Kogarah Bay - Carlton - Allawah,10,16,16,5,0,0,48
industry_code,Manufacturing,119041380,Monterey - Brighton-le-Sands - Kyeemagh,12,20,12,3,0,0,47
industry_code,Manufacturing,119041381,Rockdale - Banksia,15,14,21,8,0,0,58
industry_code,Manufacturing,119041382,Sans Souci - Ramsgate,10,18,13,0,0,0,41
industry_code,Manufacturing,119041668,Arncliffe - Bardwell Valley,13,22,24,4,3,5,69
industry_code,Manufacturing,119041669,Bexley - North,5,6,5,3,0,0,17
industry_code,Manufacturing,119041670,Bexley - South,9,5,14,0,0,0,30
industry_code,Manufacturing,119041671,Wolli Creek,8,9,6,0,0,3,25
industry_code,"Electricity, Gas, Water and Waste Services",119011354,Bass Hill - Georges Hall,3,3,3,0,0,0,4
industry_code,"Electricity, Gas, Water and Waste Services",119011355,Chullora,0,0,0,0,0,0,0
industry_code,"Electricity, Gas, Water and Waste Services",119011356,Condell Park,5,0,7,3,0,0,14
industry_code,"Electricity, Gas, Water and Waste Services",119011358,Padstow,3,0,0,0,0,0,3
industry_code,"Electricity, Gas, Water and Waste Services",119011360,Revesby,0,0,4,3,0,0,8
industry_code,"Electricity, Gas, Water and Waste Services",119011361,Yagoona - Birrong,0,3,3,0,0,0,6
industry_code,"Electricity, Gas, Water and Waste Services",119011571,Bankstown - North,3,3,3,0,0,0,7
industry_code,"Electricity, Gas, Water and Waste Services",119011572,Bankstown - South,0,5,5,0,0,0,12
industry_code,"Electricity, Gas, Water and Waste Services",119011655,Greenacre - North,3,0,3,0,0,0,7
industry_code,"Electricity, Gas, Water and Waste Services",119011656,Greenacre - South,0,3,3,0,0,0,6
industry_code,"Electricity, Gas, Water and Waste Services",119011657,Panania (North) - Milperra,0,0,3,0,0,0,4
industry_code,"Electricity, Gas, Water and Waste Services",119011658,Panania (South) - Picnic Point,0,3,6,0,0,0,8
industry_code,"Electricity, Gas, Water and Waste Services",119021362,Belmore - Belfield,0,4,3,0,0,0,7
industry_code,"Electricity, Gas, Water and Waste Services",119021366,Punchbowl,3,3,0,0,0,0,7
industry_code,"Electricity, Gas, Water and Waste Services",119021367,Roselands,0,0,5,0,0,0,6
industry_code,"Electricity, Gas, Water and Waste Services",119021573,Lakemba,3,3,0,0,0,0,3
industry_code,"Electricity, Gas, Water and Waste Services",119021574,Wiley Park,0,0,0,0,0,0,0
industry_code,"Electricity, Gas, Water and Waste Services",119021659,Campsie - North,0,3,3,0,0,0,4
industry_code,"Electricity, Gas, Water and Waste Services",119021660,Campsie - South,0,0,0,0,0,0,0
industry_code,"Electricity, Gas, Water and Waste Services",119021661,Canterbury - South,0,0,0,0,0,0,0
industry_code,"Electricity, Gas, Water and Waste Services",119021662,Earlwood,3,0,0,0,0,0,3
industry_code,"Electricity, Gas, Water and Waste Services",119021663,Kingsgrove - North,0,3,0,0,0,0,3
industry_code,"Electricity, Gas, Water and Waste Services",119031370,Narwee - Beverly Hills,0,0,3,0,0,0,5
industry_code,"Electricity, Gas, Water and Waste Services",119031371,Oatley - Hurstville Grove,0,0,0,0,0,0,0
industry_code,"Electricity, Gas, Water and Waste Services",119031372,Peakhurst - Lugarno,0,4,5,3,0,0,13
industry_code,"Electricity, Gas, Water and Waste Services",119031373,Riverwood,0,0,0,0,0,0,0
industry_code,"Electricity, Gas, Water and Waste Services",119031374,South Hurstville - Blakehurst,3,0,0,0,0,0,3
industry_code,"Electricity, Gas, Water and Waste Services",119031664,Hurstville - Central,0,3,0,0,0,0,3
industry_code,"Electricity, Gas, Water and Waste Services",119031665,Hurstville - North,0,0,0,0,0,0,0
industry_code,"Electricity, Gas, Water and Waste Services",119031666,Mortdale - Oatley,0,0,0,0,0,0,3
industry_code,"Electricity, Gas, Water and Waste Services",119031667,Penshurst,0,3,0,0,0,0,3
industry_code,"Electricity, Gas, Water and Waste Services",119041377,Kingsgrove (South) - Bardwell Park,3,0,0,0,0,0,4
industry_code,"Electricity, Gas, Water and Waste Services",119041378,Kogarah,4,3,0,3,0,0,7
industry_code,"Electricity, Gas, Water and Waste Services",119041379,Kogarah Bay - Carlton - Allawah,0,0,3,0,0,0,3
industry_code,"Electricity, Gas, Water and Waste Services",119041380,Monterey - Brighton-le-Sands - Kyeemagh,0,3,3,0,0,0,4
industry_code,"Electricity, Gas, Water and Waste Services",119041381,Rockdale - Banksia,3,5,0,0,0,0,7
industry_code,"Electricity, Gas, Water and Waste Services",119041382,Sans Souci - Ramsgate,0,3,3,0,0,0,6
industry_code,"Electricity, Gas, Water and Waste Services",119041668,Arncliffe - Bardwell Valley,0,0,3,0,0,0,7
industry_code,"Electricity, Gas, Water and Waste Services",119041669,Bexley - North,0,0,0,0,0,0,4
industry_code,"Electricity, Gas, Water and Waste Services",119041670,Bexley - South,0,0,0,0,0,0,0
industry_code,"Electricity, Gas, Water and Waste Services",119041671,Wolli Creek,0,0,0,0,0,0,0
industry_code,Construction,119011354,Bass Hill - Georges Hall,164,270,247,9,3,0,693
industry_code,Construction,119011355,Chullora,18,29,47,17,8,5,124
industry_code,Construction,119011356,Condell Park,134,188,227,46,22,13,630
industry_code,Construction,119011358,Padstow,80,178,119,29,6,6,418
industry_code,Construction,119011360,Revesby,87,139,118,16,3,3,365
industry_code,Construction,119011361,Yagoona - Birrong,137,247,145,9,4,0,542
industry_code,Construction,119011571,Bankstown - North,95,177,95,10,5,3,385
industry_code,Construction,119011572,Bankstown - South,127,169,129,16,8,10,459
industry_code,Construction,119011655,Greenacre - North,122,182,160,15,6,7,492
industry_code,Construction,119011656,Greenacre - South,110,191,133,9,5,0,448
industry_code,Construction,119011657,Panania (North) - Milperra,43,97,83,3,3,0,228
industry_code,Construction,119011658,Panania (South) - Picnic Point,67,127,133,9,3,0,339
industry_code,Construction,119021362,Belmore - Belfield,124,243,176,19,3,4,567
industry_code,Construction,119021366,Punchbowl,206,259,206,27,12,13,723
industry_code,Construction,119021367,Roselands,73,119,133,12,5,3,345
industry_code,Construction,119021573,Lakemba,85,141,70,4,0,3,305
industry_code,Construction,119021574,Wiley Park,55,84,38,3,0,0,181
industry_code,Construction,119021659,Campsie - North,67,210,79,10,3,0,368
industry_code,Construction,119021660,Campsie - South,48,144,59,7,3,3,261
industry_code,Construction,119021661,Canterbury - South,56,136,80,14,12,0,298
industry_code,Construction,119021662,Earlwood,97,142,137,20,7,4,407
industry_code,Construction,119021663,Kingsgrove - North,63,70,81,14,4,6,238
industry_code,Construction,119031370,Narwee - Beverly Hills,48,105,79,7,0,4,244
industry_code,Construction,119031371,Oatley - Hurstville Grove,47,66,57,6,0,0,178
industry_code,Construction,119031372,Peakhurst - Lugarno,112,160,201,45,10,7,535
industry_code,Construction,119031373,Riverwood,47,67,43,3,0,0,159
industry_code,Construction,119031374,South Hurstville - Blakehurst,128,175,156,20,6,3,487
industry_code,Construction,119031664,Hurstville - Central,85,87,41,13,3,3,231
industry_code,Construction,119031665,Hurstville - North,60,94,86,8,3,0,249
industry_code,Construction,119031666,Mortdale - Oatley,44,85,55,5,0,0,189
industry_code,Construction,119031667,Penshurst,29,62,33,7,0,0,133
industry_code,Construction,119041377,Kingsgrove (South) - Bardwell Park,53,125,98,13,0,3,292
industry_code,Construction,119041378,Kogarah,53,73,59,16,8,7,216
industry_code,Construction,119041379,Kogarah Bay - Carlton - Allawah,58,116,76,13,3,3,269
industry_code,Construction,119041380,Monterey - Brighton-le-Sands - Kyeemagh,56,138,85,9,3,3,290
industry_code,Construction,119041381,Rockdale - Banksia,77,144,86,16,4,8,335
industry_code,Construction,119041382,Sans Souci - Ramsgate,66,148,108,7,3,3,333
industry_code,Construction,119041668,Arncliffe - Bardwell Valley,81,153,113,7,5,4,363
industry_code,Construction,119041669,Bexley - North,56,82,95,7,3,0,243
industry_code,Construction,119041670,Bexley - South,44,107,68,6,3,0,229
industry_code,Construction,119041671,Wolli Creek,23,69,22,5,0,0,121
industry_code,Wholesale Trade,119011354,Bass Hill - Georges Hall,20,28,23,0,3,0,74
industry_code,Wholesale Trade,119011355,Chullora,13,18,20,10,4,11,76
industry_code,Wholesale Trade,119011356,Condell Park,33,47,84,50,26,40,280
industry_code,Wholesale Trade,119011358,Padstow,18,18,35,13,3,3,90
industry_code,Wholesale Trade,119011360,Revesby,13,15,14,0,0,0,43
industry_code,Wholesale Trade,119011361,Yagoona - Birrong,20,16,19,3,0,0,58
industry_code,Wholesale Trade,119011571,Bankstown - North,17,17,20,3,0,0,59
industry_code,Wholesale Trade,119011572,Bankstown - South,29,40,53,15,8,13,158
industry_code,Wholesale Trade,119011655,Greenacre - North,19,24,31,7,3,6,90
industry_code,Wholesale Trade,119011656,Greenacre - South,13,16,24,5,3,0,61
industry_code,Wholesale Trade,119011657,Panania (North) - Milperra,5,9,5,3,0,0,22
industry_code,Wholesale Trade,119011658,Panania (South) - Picnic Point,10,13,7,0,0,0,31
industry_code,Wholesale Trade,119021362,Belmore - Belfield,19,25,22,8,5,0,80
industry_code,Wholesale Trade,119021366,Punchbowl,37,24,47,17,10,8,143
industry_code,Wholesale Trade,119021367,Roselands,12,9,13,3,4,5,45
industry_code,Wholesale Trade,119021573,Lakemba,21,21,25,8,3,5,83
industry_code,Wholesale Trade,119021574,Wiley Park,10,8,10,0,0,0,28
industry_code,Wholesale Trade,119021659,Campsie - North,10,7,6,0,0,0,23
industry_code,Wholesale Trade,119021660,Campsie - South,3,9,14,0,0,3,29
industry_code,Wholesale Trade,119021661,Canterbury - South,7,9,13,3,0,3,34
industry_code,Wholesale Trade,119021662,Earlwood,13,16,20,0,3,0,51
industry_code,Wholesale Trade,119021663,Kingsgrove - North,17,9,24,15,6,12,83
industry_code,Wholesale Trade,119031370,Narwee - Beverly Hills,14,19,9,5,0,0,48
industry_code,Wholesale Trade,119031371,Oatley - Hurstville Grove,6,13,10,4,0,0,36
industry_code,Wholesale Trade,119031372,Peakhurst - Lugarno,34,26,48,14,7,4,133
industry_code,Wholesale Trade,119031373,Riverwood,11,9,7,0,0,0,27
industry_code,Wholesale Trade,119031374,South Hurstville - Blakehurst,32,23,26,9,0,3,91
industry_code,Wholesale Trade,119031664,Hurstville - Central,30,28,36,6,3,3,105
industry_code,Wholesale Trade,119031665,Hurstville - North,21,14,20,4,3,3,62
industry_code,Wholesale Trade,119031666,Mortdale - Oatley,7,6,16,0,0,3,31
industry_code,Wholesale Trade,119031667,Penshurst,10,0,4,3,0,0,18
industry_code,Wholesale Trade,119041377,Kingsgrove (South) - Bardwell Park,9,9,18,3,0,0,40
industry_code,Wholesale Trade,119041378,Kogarah,15,12,20,3,3,3,52
industry_code,Wholesale Trade,119041379,Kogarah Bay - Carlton - Allawah,17,17,19,4,0,3,58
industry_code,Wholesale Trade,119041380,Monterey - Brighton-le-Sands - Kyeemagh,21,13,17,0,0,0,54
industry_code,Wholesale Trade,119041381,Rockdale - Banksia,16,17,32,6,0,0,73
industry_code,Wholesale Trade,119041382,Sans Souci - Ramsgate,19,13,13,0,0,0,47
industry_code,Wholesale Trade,119041668,Arncliffe - Bardwell Valley,20,14,27,0,0,7,69
industry_code,Wholesale Trade,119041669,Bexley - North,5,9,9,3,0,0,26
industry_code,Wholesale Trade,119041670,Bexley - South,4,13,4,4,3,0,28
industry_code,Wholesale Trade,119041671,Wolli Creek,10,10,4,0,3,0,27
industry_code,Retail Trade,119011354,Bass Hill - Georges Hall,33,43,42,6,0,0,126
industry_code,Retail Trade,119011355,Chullora,13,13,24,11,7,3,71
industry_code,Retail Trade,119011356,Condell Park,43,36,81,18,9,11,198
industry_code,Retail Trade,119011358,Padstow,35,36,38,5,5,0,121
industry_code,Retail Trade,119011360,Revesby,28,27,30,4,3,0,91
industry_code,Retail Trade,119011361,Yagoona - Birrong,44,38,48,5,0,3,138
industry_code,Retail Trade,119011571,Bankstown - North,47,48,47,13,3,3,158
industry_code,Retail Trade,119011572,Bankstown - South,33,57,73,15,4,5,187
industry_code,Retail Trade,119011655,Greenacre - North,21,40,62,11,4,3,140
industry_code,Retail Trade,119011656,Greenacre - South,41,36,39,7,6,0,130
industry_code,Retail Trade,119011657,Panania (North) - Milperra,6,18,10,0,0,3,36
industry_code,Retail Trade,119011658,Panania (South) - Picnic Point,16,22,26,8,0,0,72
industry_code,Retail Trade,119021362,Belmore - Belfield,40,38,43,15,4,3,142
industry_code,Retail Trade,119021366,Punchbowl,44,44,60,12,5,4,169
industry_code,Retail Trade,119021367,Roselands,27,28,35,11,0,3,106
industry_code,Retail Trade,119021573,Lakemba,43,29,67,7,3,3,150
industry_code,Retail Trade,119021574,Wiley Park,18,13,10,6,0,0,47
industry_code,Retail Trade,119021659,Campsie - North,30,24,23,5,0,0,84
industry_code,Retail Trade,119021660,Campsie - South,31,27,52,7,3,0,119
industry_code,Retail Trade,119021661,Canterbury - South,21,18,20,4,3,3,66
industry_code,Retail Trade,119021662,Earlwood,27,36,39,7,6,3,116
industry_code,Retail Trade,119021663,Kingsgrove - North,16,17,18,9,3,0,62
industry_code,Retail Trade,119031370,Narwee - Beverly Hills,22,22,29,4,0,0,78
industry_code,Retail Trade,119031371,Oatley - Hurstville Grove,24,26,26,3,3,0,81
industry_code,Retail Trade,119031372,Peakhurst - Lugarno,36,32,64,17,6,5,160
industry_code,Retail Trade,119031373,Riverwood,19,22,21,4,0,0,67
industry_code,Retail Trade,119031374,South Hurstville - Blakehurst,55,36,59,8,6,0,165
industry_code,Retail Trade,119031664,Hurstville - Central,42,47,72,15,3,4,183
industry_code,Retail Trade,119031665,Hurstville - North,28,19,20,5,3,0,75
industry_code,Retail Trade,119031666,Mortdale - Oatley,9,14,25,5,0,0,56
industry_code,Retail Trade,119031667,Penshurst,17,25,19,3,0,3,66
industry_code,Retail Trade,119041377,Kingsgrove (South) - Bardwell Park,31,20,27,8,3,0,88
industry_code,Retail Trade,119041378,Kogarah,26,23,34,8,4,5,100
industry_code,Retail Trade,119041379,Kogarah Bay - Carlton - Allawah,24,36,32,4,0,0,98
industry_code,Retail Trade,119041380,Monterey - Brighton-le-Sands - Kyeemagh,26,21,26,8,3,0,85
industry_code,Retail Trade,119041381,Rockdale - Banksia,35,44,66,13,6,0,165
industry_code,Retail Trade,119041382,Sans Souci - Ramsgate,36,20,42,7,3,0,108
industry_code,Retail Trade,119041668,Arncliffe - Bardwell Valley,37,28,34,11,10,3,123
industry_code,Retail Trade,119041669,Bexley - North,29,21,18,6,3,0,76
